,Customer ID,recency,frequency,monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_SCORE,Segment
0,12346.0,327,1,77183.6,1,1,5,115,Long time big buy
1,12347.0,3,7,4167.780000000001,5,5,5,555,Champions
2,12348.0,76,4,1373.6399999999999,2,4,4,244,Normal Customer
3,12349.0,20,1,1231.9100000000003,4,1,4,414,Promising big money
4,12350.0,311,1,294.40000000000003,1,1,2,112,Hibernating
5,12352.0,37,8,2196.19,3,5,5,355,Loyal customers
6,12353.0,205,1,89.0,1,1,1,111,Hibernating
7,12354.0,233,1,950.52,1,1,4,114,Long time big buy
8,12355.0,215,1,459.4,1,1,3,113,Hibernating
9,12356.0,24,3,2396.23,4,3,5,435,Potential loyalists
10,12357.0,34,1,5786.39,4,1,5,415,Promising big money
11,12358.0,3,2,913.0600000000001,5,2,4,524,Potential loyalists
12,12359.0,59,4,5604.28,3,4,5,345,Loyal customers
13,12360.0,53,3,2035.16,3,3,5,335,Potential loyalists
14,12361.0,288,1,158.4,1,1,1,111,Hibernating
15,12362.0,4,10,4202.68,5,5,5,555,Champions
16,12363.0,111,2,445.44,2,2,3,223,At Risk
17,12364.0,9,4,1172.25,5,4,4,544,Champions
18,12365.0,292,2,641.3799999999999,1,2,3,123,Hibernating
19,12367.0,5,1,150.89999999999998,5,1,1,511,New customers
20,12370.0,52,4,3003.89,3,4,5,345,Loyal customers
21,12371.0,61,1,1466.4600000000003,3,1,4,314,At Risk
22,12372.0,73,3,1163.3400000000001,3,3,4,334,Potential loyalists
23,12373.0,312,1,324.6,1,1,2,112,Hibernating
24,12374.0,26,1,605.53,4,1,3,413,Promising big money
25,12375.0,12,2,286.1,5,2,2,522,New customers
26,12377.0,316,2,1378.9199999999996,1,2,4,124,Long time big buy
27,12378.0,131,1,3539.36,2,1,5,215,Long time big buy
28,12379.0,83,2,710.3,2,2,3,223,At Risk
29,12380.0,23,4,2125.3700000000003,4,4,5,445,Loyal customers
30,12381.0,6,3,1381.51,5,3,4,534,Potential loyalists
31,12383.0,186,5,1519.4400000000003,1,4,4,144,Normal Customer
32,12384.0,30,2,400.07000000000005,4,2,2,422,Promising small money
33,12386.0,339,2,371.9,1,2,2,122,Hibernating
34,12388.0,17,6,2531.2400000000002,4,5,5,455,Loyal customers
35,12390.0,81,1,373.14,2,1,2,212,At Risk
36,12391.0,23,1,378.15000000000003,4,1,2,412,Promising small money
37,12393.0,73,4,1249.4,3,4,4,344,Loyal customers
38,12394.0,65,2,1030.68,3,2,4,324,Potential loyalists
39,12395.0,20,12,2479.09,4,5,5,455,Loyal customers
40,12397.0,37,2,1966.9499999999998,3,2,5,325,Potential loyalists
41,12398.0,47,1,1296.14,3,1,4,314,At Risk
42,12399.0,120,4,831.98,2,4,3,243,Normal Customer
43,12401.0,304,1,69.3,1,1,1,111,Hibernating
44,12402.0,324,1,176.1,1,1,1,111,Hibernating
45,12403.0,51,1,9.9,3,1,1,311,At Risk
46,12405.0,150,1,1330.8100000000002,2,1,4,214,Long time big buy
47,12406.0,23,2,2414.27,4,2,5,425,Potential loyalists
48,12407.0,51,5,1458.8199999999997,3,4,4,344,Loyal customers
49,12408.0,34,5,2415.79,4,4,5,445,Loyal customers
50,12409.0,80,2,9120.920000000002,2,2,5,225,Long time big buy
51,12410.0,310,2,533.3299999999999,1,2,3,123,Hibernating
52,12412.0,76,3,875.44,2,3,4,234,Normal Customer
53,12413.0,68,3,686.1,3,3,3,333,Potential loyalists
54,12414.0,218,3,442.41,1,3,3,133,Normal Customer
55,12415.0,25,20,107361.26999999999,4,5,5,455,Loyal customers
56,12417.0,4,9,2948.96,5,5,5,555,Champions
57,12418.0,114,1,584.13,2,1,3,213,At Risk
58,12420.0,65,1,528.45,3,1,3,313,At Risk
59,12421.0,17,4,594.0400000000001,4,4,3,443,Need attention
60,12422.0,97,3,667.0599999999998,2,3,3,233,Normal Customer
61,12423.0,2,8,1444.8500000000001,5,5,4,554,Champions
62,12424.0,164,2,1376.6599999999999,2,2,4,224,Long time big buy
63,12425.0,79,1,646.8399999999999,2,1,3,213,At Risk
64,12426.0,196,1,458.38,1,1,3,113,Hibernating
